Step,FR_hip_torque,FR_knee_torque,FR_foot_torque,BR_hip_torque,BR_knee_torque,BR_foot_torque,BL_hip_torque,BL_knee_torque,BL_foot_torque,FL_hip_torque,FL_knee_torque,FL_foot_torque
54,3.0,-3.0,-3.0,2.6318994927162667,3.0,3.0,-3.0,3.0,3.0,-3.0,-3.0,-3.0
55,-3.0,3.0,3.0,-3.0,-3.0,-3.0,-3.0,3.0,3.0,-3.0,-3.0,-3.0
56,-3.0,3.0,3.0,-3.0,-3.0,-3.0,-3.0,3.0,3.0,-3.0,-3.0,-3.0
57,-3.0,3.0,3.0,-3.0,-3.0,-3.0,-3.0,3.0,3.0,-3.0,-3.0,-3.0
58,3.0,3.0,3.0,-1.3219926113915106,3.0,3.0,-0.7954488525880432,3.0,3.0,1.236701210012753,3.0,-3.0
59,-3.0,3.0,3.0,-3.0,3.0,3.0,-3.0,3.0,3.0,-3.0,-3.0,-3.0
60,-3.0,3.0,3.0,-3.0,-3.0,-3.0,-3.0,3.0,3.0,-3.0,-3.0,-3.0
61,-3.0,3.0,3.0,-3.0,3.0,3.0,-3.0,3.0,3.0,-3.0,3.0,-3.0
62,-3.0,3.0,3.0,-3.0,3.0,3.0,-3.0,3.0,3.0,-3.0,3.0,-1.7747091204223082
63,-3.0,3.0,3.0,-3.0,3.0,3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0
64,-3.0,-3.0,3.0,-3.0,3.0,3.0,-3.0,-3.0,-3.0,-3.0,3.0,3.0
65,-3.0,3.0,3.0,-3.0,3.0,3.0,-3.0,3.0,3.0,-3.0,3.0,3.0
66,-3.0,-3.0,-3.0,3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,3.0,3.0
67,3.0,-3.0,-3.0,3.0,-3.0,-3.0,3.0,-3.0,-3.0,3.0,-3.0,-3.0
68,3.0,-3.0,3.0,0.5849127481601197,-3.0,3.0,-2.3267925326933057,-3.0,-3.0,3.0,-3.0,-3.0
69,-3.0,3.0,3.0,-3.0,-3.0,-3.0,3.0,3.0,3.0,3.0,3.0,3.0
70,-3.0,1.0398750199253364,3.0,-3.0,-3.0,-3.0,3.0,3.0,3.0,3.0,3.0,3.0
71,-3.0,3.0,3.0,-3.0,-3.0,-3.0,-3.0,3.0,3.0,-3.0,3.0,3.0
72,-3.0,3.0,3.0,-3.0,3.0,3.0,-3.0,3.0,3.0,-3.0,3.0,3.0
73,-3.0,3.0,3.0,-3.0,-3.0,-3.0,-3.0,3.0,3.0,-3.0,3.0,3.0
74,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,3.0,3.0,-3.0,3.0,3.0
75,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,3.0,3.0,-3.0,3.0,3.0
76,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0
77,-3.0,3.0,3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,3.0,3.0
78,-3.0,3.0,3.0,-3.0,-3.0,-3.0,3.0,-3.0,-3.0,-3.0,-3.0,-3.0
79,3.0,3.0,3.0,-3.0,-3.0,-3.0,1.7034579444526194,3.0,3.0,3.0,3.0,3.0
